Country or Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Kazakhstan,2007,Female,15+,Percent,Modeled,1.3819743395
Kazakhstan,2007,Female,25+,Percent,Modeled,1.1531591415
Kazakhstan,2007,Male,15 - 24,Percent,Modeled,2.8573994637
Kazakhstan,2007,Male,15+,Percent,Modeled,2.4034721851
Kazakhstan,2007,Male,25+,Percent,Modeled,2.303650856
Kazakhstan,2007,Total,15 - 24,Percent,Modeled,2.726033926
Kazakhstan,2007,Total,15+,Percent,Modeled,1.9054759741
Kazakhstan,2007,Total,25+,Percent,Modeled,1.7361932993
Kazakhstan,2006,Female,15 - 24,Percent,Modeled,2.7592492104
Kazakhstan,2006,Female,15+,Percent,Modeled,1.5151852369
Kazakhstan,2006,Female,25+,Percent,Modeled,1.2764562368
Kazakhstan,2006,Male,15 - 24,Percent,Modeled,3.045347929
Kazakhstan,2006,Male,15+,Percent,Modeled,2.4679713249
Kazakhstan,2006,Male,25+,Percent,Modeled,2.3399083614
Kazakhstan,2006,Total,15 - 24,Percent,Modeled,2.9147808552
Kazakhstan,2006,Total,15+,Percent,Modeled,2.0046539307
Kazakhstan,2006,Total,25+,Percent,Modeled,1.816190958
Kazakhstan,2005,Female,15 - 24,Percent,Modeled,2.4287040234
Kazakhstan,2005,Female,15+,Percent,Modeled,1.2795692682
Kazakhstan,2005,Female,25+,Percent,Modeled,1.054518342
Kazakhstan,2005,Male,15 - 24,Percent,Modeled,2.7923591137
Kazakhstan,2005,Male,15+,Percent,Modeled,2.0738475323
Kazakhstan,2005,Male,25+,Percent,Modeled,1.9116607904
Kazakhstan,2005,Total,15 - 24,Percent,Modeled,2.6266283989
Kazakhstan,2005,Total,15+,Percent,Modeled,1.6886585951
Kazakhstan,2005,Total,25+,Percent,Modeled,1.4907000065
Kazakhstan,2004,Female,15 - 24,Percent,Modeled,3.6306700706
Kazakhstan,2004,Female,15+,Percent,Modeled,2.1434600353
Kazakhstan,2004,Female,25+,Percent,Modeled,1.8516225815
Kazakhstan,2004,Male,15 - 24,Percent,Modeled,3.8724648952
Kazakhstan,2004,Male,15+,Percent,Modeled,3.0489828587
Kazakhstan,2004,Male,25+,Percent,Modeled,2.8639221191
Kazakhstan,2004,Total,15 - 24,Percent,Modeled,3.762399435
Kazakhstan,2004,Total,15+,Percent,Modeled,2.6115221977
Kazakhstan,2004,Total,25+,Percent,Modeled,2.3689239025
Kazakhstan,2003,Female,15 - 24,Percent,Estimated,4.0869951248
Kazakhstan,2003,Female,15+,Percent,Estimated,2.3882801533
Kazakhstan,2003,Female,25+,Percent,Estimated,2.0534687042
Kazakhstan,2003,Male,15 - 24,Percent,Estimated,4.3989930153
Kazakhstan,2003,Male,15+,Percent,Estimated,3.3460006714
Kazakhstan,2003,Male,25+,Percent,Estimated,3.1063799858
Kazakhstan,2003,Total,15 - 24,Percent,Estimated,4.2572546005
Kazakhstan,2003,Total,15+,Percent,Estimated,2.882638216
Kazakhstan,2003,Total,25+,Percent,Estimated,2.5903522968
Kazakhstan,2002,Female,15 - 24,Percent,Modeled,4.4775424004
Kazakhstan,2002,Female,15+,Percent,Modeled,2.7276208401
Kazakhstan,2002,Female,25+,Percent,Modeled,2.3932538033
Kazakhstan,2002,Male,15 - 24,Percent,Modeled,4.6680145264
Kazakhstan,2002,Male,15+,Percent,Modeled,3.8513734341
Kazakhstan,2002,Male,25+,Percent,Modeled,3.672052145
Kazakhstan,2002,Total,15 - 24,Percent,Modeled,4.5813751221
Kazakhstan,2002,Total,15+,Percent,Modeled,3.307926178
Kazakhstan,2002,Total,25+,Percent,Modeled,3.0460684299
Kyrgyzstan,2012,Female,15 - 24,Percent,Modeled,1.9340263605
Kyrgyzstan,2012,Female,15+,Percent,Modeled,1.7025126219
Kyrgyzstan,2012,Female,25+,Percent,Modeled,1.6565070152
Kyrgyzstan,2012,Male,15 - 24,Percent,Modeled,3.569406271
Kyrgyzstan,2012,Male,15+,Percent,Modeled,6.1749687195
Kyrgyzstan,2012,Male,25+,Percent,Modeled,6.8436293602
Kyrgyzstan,2012,Total,15 - 24,Percent,Modeled,2.9802527428
Kyrgyzstan,2012,Total,15+,Percent,Modeled,4.3431239128
Kyrgyzstan,2012,Total,25+,Percent,Modeled,4.6596441269
Kyrgyzstan,2011,Female,15 - 24,Percent,Modeled,2.0058131218
Kyrgyzstan,2011,Female,15+,Percent,Modeled,1.680852294
Kyrgyzstan,2011,Female,25+,Percent,Modeled,1.6075842381
Kyrgyzstan,2011,Male,15 - 24,Percent,Modeled,3.738338232
Kyrgyzstan,2011,Male,15+,Percent,Modeled,5.9646925926
Kyrgyzstan,2011,Male,25+,Percent,Modeled,6.5883965492
Kyrgyzstan,2011,Total,15 - 24,Percent,Modeled,3.09476614
Kyrgyzstan,2011,Total,15+,Percent,Modeled,4.1963787079
Kyrgyzstan,2011,Total,25+,Percent,Modeled,4.479487896
Kyrgyzstan,2010,Female,15 - 24,Percent,Modeled,2.3450601101
Kyrgyzstan,2010,Female,15+,Percent,Modeled,1.9855462313
Kyrgyzstan,2010,Female,25+,Percent,Modeled,1.903234005
Kyrgyzstan,2010,Male,15 - 24,Percent,Modeled,4.634021759
Kyrgyzstan,2010,Male,15+,Percent,Modeled,5.8839788437
Kyrgyzstan,2010,Male,25+,Percent,Modeled,6.2642016411
Kyrgyzstan,2010,Total,15 - 24,Percent,Modeled,3.8105063438
Kyrgyzstan,2010,Total,15+,Percent,Modeled,4.2739701271
Kyrgyzstan,2010,Total,25+,Percent,Modeled,4.4000458717
Kyrgyzstan,2009,Female,15 - 24,Percent,Modeled,2.4129989147
Kyrgyzstan,2009,Female,15+,Percent,Modeled,1.9873366356
Kyrgyzstan,2009,Female,25+,Percent,Modeled,1.8832176924
Kyrgyzstan,2009,Male,15 - 24,Percent,Modeled,4.3662610054
Kyrgyzstan,2009,Male,15+,Percent,Modeled,5.3696255684
Kyrgyzstan,2009,Male,25+,Percent,Modeled,5.6718478203
Kyrgyzstan,2009,Total,15 - 24,Percent,Modeled,3.6281769276
Kyrgyzstan,2009,Total,15+,Percent,Modeled,3.9590477943
Kyrgyzstan,2009,Total,25+,Percent,Modeled,4.0506949425
Kyrgyzstan,2008,Female,15 - 24,Percent,Modeled,2.5558412075
Kyrgyzstan,2008,Female,15+,Percent,Modeled,2.062328577
Kyrgyzstan,2008,Female,25+,Percent,Modeled,1.9439516068
Kyrgyzstan,2008,Male,15 - 24,Percent,Modeled,4.6015415192
Kyrgyzstan,2008,Male,15+,Percent,Modeled,6.0215382576
Kyrgyzstan,2008,Male,25+,Percent,Modeled,6.4434347153
Kyrgyzstan,2008,Total,15 - 24,Percent,Modeled,3.8278846741
Kyrgyzstan,2008,Total,15+,Percent,Modeled,4.3640580177
Kyrgyzstan,2008,Total,25+,Percent,Modeled,4.5101733208
Kyrgyzstan,2007,Female,15 - 24,Percent,Modeled,2.7434601784
Kyrgyzstan,2007,Female,15+,Percent,Modeled,2.2518601418
Kyrgyzstan,2007,Female,25+,Percent,Modeled,2.1379914284
Kyrgyzstan,2007,Male,15 - 24,Percent,Modeled,4.767950058
Kyrgyzstan,2007,Male,15+,Percent,Modeled,6.7471423149
Kyrgyzstan,2007,Male,25+,Percent,Modeled,7.3204727173
Kyrgyzstan,2007,Total,15 - 24,Percent,Modeled,4.004034996
Kyrgyzstan,2007,Total,15+,Percent,Modeled,4.8596835136
Kyrgyzstan,2007,Total,25+,Percent,Modeled,5.0861325264
Kyrgyzstan,2006,Female,15 - 24,Percent,Modeled,6.24304533
Kyrgyzstan,2006,Female,15+,Percent,Modeled,5.0179271698
Kyrgyzstan,2006,Female,25+,Percent,Modeled,4.7429213524
Kyrgyzstan,2006,Male,15 - 24,Percent,Modeled,9.9615278244
Kyrgyzstan,2006,Male,15+,Percent,Modeled,13.4706449509
Kyrgyzstan,2006,Male,25+,Percent,Modeled,14.4649295807
Kyrgyzstan,2006,Total,15 - 24,Percent,Modeled,8.5600948334
Kyrgyzstan,2006,Total,15+,Percent,Modeled,9.9083051682
Kyrgyzstan,2006,Total,25+,Percent,Modeled,10.2559490204
Kyrgyzstan,2005,Female,15 - 24,Percent,Modeled,8.5850725174
Kyrgyzstan,2005,Female,15+,Percent,Modeled,7.0326037407
Kyrgyzstan,2005,Female,25+,Percent,Modeled,6.6823558807
Kyrgyzstan,2005,Male,15 - 24,Percent,Modeled,12.716293335
Kyrgyzstan,2005,Male,15+,Percent,Modeled,15.9043426514
Kyrgyzstan,2005,Male,25+,Percent,Modeled,16.7910346985
Kyrgyzstan,2005,Total,15 - 24,Percent,Modeled,11.135556221
Kyrgyzstan,2005,Total,15+,Percent,Modeled,12.152879715
Kyrgyzstan,2005,Total,25+,Percent,Modeled,12.4126825333
Kyrgyzstan,2004,Female,15 - 24,Percent,Modeled,4.8167338371
Kyrgyzstan,2004,Female,15+,Percent,Modeled,3.9505009651
Kyrgyzstan,2004,Female,25+,Percent,Modeled,3.7568819523
Kyrgyzstan,2004,Male,15 - 24,Percent,Modeled,7.4520521164
Kyrgyzstan,2004,Male,15+,Percent,Modeled,7.8695936203
Kyrgyzstan,2004,Male,25+,Percent,Modeled,7.9861402512
Kyrgyzstan,2004,Total,15 - 24,Percent,Modeled,6.4373664856
Kyrgyzstan,2004,Total,15+,Percent,Modeled,6.1927022934
Kyrgyzstan,2004,Total,25+,Percent,Modeled,6.1303796768
Kyrgyzstan,2003,Female,15 - 24,Percent,Modeled,9.1488609314
Kyrgyzstan,2003,Female,15+,Percent,Modeled,7.5768113136
Kyrgyzstan,2003,Female,25+,Percent,Modeled,7.2030439377
Kyrgyzstan,2003,Male,15 - 24,Percent,Modeled,12.5804452896
Kyrgyzstan,2003,Male,15+,Percent,Modeled,12.763543129
Kyrgyzstan,2003,Male,25+,Percent,Modeled,12.8141517639
Kyrgyzstan,2003,Total,15 - 24,Percent,Modeled,11.2031030655
Kyrgyzstan,2003,Total,15+,Percent,Modeled,10.5306987762
Kyrgyzstan,2003,Total,25+,Percent,Modeled,10.3562202454
Kyrgyzstan,2002,Female,15 - 24,Percent,Modeled,13.4010505676
Kyrgyzstan,2002,Female,15+,Percent,Modeled,11.3375749588
Kyrgyzstan,2002,Female,25+,Percent,Modeled,10.8249797821
Kyrgyzstan,2002,Male,15 - 24,Percent,Modeled,16.9167423248
Kyrgyzstan,2002,Male,15+,Percent,Modeled,15.5919399261
Kyrgyzstan,2002,Male,25+,Percent,Modeled,15.2341995239
Kyrgyzstan,2002,Total,15 - 24,Percent,Modeled,15.4515552521
Kyrgyzstan,2002,Total,15+,Percent,Modeled,13.7500104904
Kyrgyzstan,2002,Total,25+,Percent,Modeled,13.3066177368
Kyrgyzstan,2001,Female,15 - 24,Percent,Modeled,15.5122461319
Kyrgyzstan,2001,Female,15+,Percent,Modeled,12.7578706741
Kyrgyzstan,2001,Female,25+,Percent,Modeled,12.0736856461
Kyrgyzstan,2001,Male,15 - 24,Percent,Modeled,19.8532543182
Kyrgyzstan,2001,Male,15+,Percent,Modeled,21.1940135956
Kyrgyzstan,2001,Male,25+,Percent,Modeled,21.5664215088
Kyrgyzstan,2001,Total,15 - 24,Percent,Modeled,18.0384082794
Kyrgyzstan,2001,Total,15+,Percent,Modeled,17.4843463898
Kyrgyzstan,2001,Total,25+,Percent,Modeled,17.3376998901
Kyrgyzstan,2000,Female,15 - 24,Percent,Modeled,20.9987506866
Kyrgyzstan,2000,Female,15+,Percent,Modeled,17.4993476868
Kyrgyzstan,2000,Female,25+,Percent,Modeled,16.6219520569
Kyrgyzstan,2000,Male,15 - 24,Percent,Modeled,25.5095310211
Kyrgyzstan,2000,Male,15+,Percent,Modeled,27.2775650024
Kyrgyzstan,2000,Male,25+,Percent,Modeled,27.7667694092
Kyrgyzstan,2000,Total,15 - 24,Percent,Modeled,23.6002693176
Kyrgyzstan,2000,Total,15+,Percent,Modeled,22.9515628815
Kyrgyzstan,2000,Total,25+,Percent,Modeled,22.7796058655
Lao People's Democratic Republic,2012,Female,15 - 24,Percent,Modeled,63.012348175
Lao People's Democratic Republic,2012,Female,15+,Percent,Modeled,59.2833518982
Lao People's Democratic Republic,2012,Female,25+,Percent,Modeled,57.5933570862
Lao People's Democratic Republic,2012,Male,15 - 24,Percent,Modeled,62.5010070801
Lao People's Democratic Republic,2012,Male,15+,Percent,Modeled,59.5946311951
Lao People's Democratic Republic,2012,Male,25+,Percent,Modeled,58.6119728088
Lao People's Democratic Republic,2012,Total,15 - 24,Percent,Modeled,62.7907867432
Lao People's Democratic Republic,2012,Total,15+,Percent,Modeled,59.4344863892
Lao People's Democratic Republic,2012,Total,25+,Percent,Modeled,58.1089248657
Lao People's Democratic Republic,2002,Female,15 - 24,Percent,Modeled,77.32006073
Lao People's Democratic Republic,2002,Female,15+,Percent,Modeled,76.0014801025
Lao People's Democratic Republic,2002,Female,25+,Percent,Modeled,75.3489151001
Lao People's Democratic Republic,2002,Male,15 - 24,Percent,Modeled,76.8847122192
Lao People's Democratic Republic,2002,Male,15+,Percent,Modeled,75.2970199585
Lao People's Democratic Republic,2002,Male,25+,Percent,Modeled,74.7109985352
Lao People's Democratic Republic,2002,Total,15 - 24,Percent,Modeled,77.1291885376
Lao People's Democratic Republic,2002,Total,15+,Percent,Modeled,75.6566848755
Lao People's Democratic Republic,2002,Total,25+,Percent,Modeled,75.0226821899
Lesotho,2010,Female,15 - 24,Percent,Modeled,45.4407043457
Lesotho,2010,Female,15+,Percent,Modeled,43.8855247498
Lesotho,2010,Female,25+,Percent,Modeled,43.5228843689
Lesotho,2010,Male,15 - 24,Percent,Modeled,54.7558135986
Lesotho,2010,Male,15+,Percent,Modeled,46.4498939514
Lesotho,2010,Male,25+,Percent,Modeled,43.4498176575
Lesotho,2010,Total,15 - 24,Percent,Modeled,51.4628295898
Lesotho,2010,Total,15+,Percent,Modeled,45.3364868164
Lesotho,2010,Total,25+,Percent,Modeled,43.4833259583
Lesotho,2002,Female,15 - 24,Percent,Estimated,50.3304786682
Lesotho,2002,Female,15+,Percent,Estimated,48.9498291016
Lesotho,2002,Female,25+,Percent,Estimated,48.5455665588
Lesotho,2002,Male,15 - 24,Percent,Estimated,59.7842979431
Lesotho,2002,Male,15+,Percent,Estimated,52.1158866882
Lesotho,2002,Male,25+,Percent,Estimated,48.6584091187
Lesotho,2002,Total,15 - 24,Percent,Estimated,56.3267173767
Lesotho,2002,Total,15+,Percent,Estimated,50.7174186707
Lesotho,2002,Total,25+,Percent,Estimated,48.6053390503
Liberia,2007,Female,15 - 24,Percent,Estimated,72.4494400024
Liberia,2007,Female,15+,Percent,Estimated,70.7858047485
Liberia,2007,Female,25+,Percent,Estimated,70.3615570068
Liberia,2007,Male,15 - 24,Percent,Estimated,73.3745346069
Liberia,2007,Male,15+,Percent,Estimated,66.6911468506
Liberia,2007,Male,25+,Percent,Estimated,65.0515213013
Liberia,2007,Total,15 - 24,Percent,Estimated,72.9168777466
Liberia,2007,Total,15+,Percent,Estimated,68.6851501465
Liberia,2007,Total,25+,Percent,Estimated,67.6271057129
Madagascar,2010,Female,15 - 24,Percent,Modeled,82.1300125122
Madagascar,2010,Female,15+,Percent,Modeled,79.4220428467
Madagascar,2010,Female,25+,Percent,Modeled,78.2020645142
Madagascar,2010,Male,15 - 24,Percent,Modeled,81.4903259277
Madagascar,2010,Male,15+,Percent,Modeled,77.0007171631
Madagascar,2010,Male,25+,Percent,Modeled,75.0411834717
Madagascar,2010,Total,15 - 24,Percent,Modeled,81.8064956665
Madagascar,2010,Total,15+,Percent,Modeled,78.1841888428
Madagascar,2010,Total,25+,Percent,Modeled,76.5784454346
Madagascar,2005,Female,15 - 24,Percent,Estimated,75.142288208
Madagascar,2005,Female,15+,Percent,Estimated,71.9464111328
Madagascar,2005,Female,25+,Percent,Estimated,70.5954742432
Madagascar,2005,Male,15 - 24,Percent,Estimated,74.9454269409
Madagascar,2005,Male,15+,Percent,Estimated,69.6640548706
Madagascar,2005,Male,25+,Percent,Estimated,67.5270690918
Madagascar,2005,Total,15 - 24,Percent,Estimated,75.0425720215
Madagascar,2005,Total,15+,Percent,Estimated,70.7727737427
Madagascar,2005,Total,25+,Percent,Estimated,69.0078125
Madagascar,2001,Female,15 - 24,Percent,Modeled,73.3227920532
Madagascar,2001,Female,15+,Percent,Modeled,70.0274124146
Madagascar,2001,Female,25+,Percent,Modeled,68.6386032104
Madagascar,2001,Male,15 - 24,Percent,Modeled,73.4327163696
Madagascar,2001,Male,15+,Percent,Modeled,67.5378952026
Madagascar,2001,Male,25+,Percent,Modeled,65.1778259277
Madagascar,2001,Total,15 - 24,Percent,Modeled,73.3785858154
Madagascar,2001,Total,15+,Percent,Modeled,68.7413482666
Madagascar,2001,Total,25+,Percent,Modeled,66.8378829956
Malawi,2010,Female,15 - 24,Percent,Modeled,68.2002105713
Malawi,2010,Female,15+,Percent,Modeled,72.1573944092
Malawi,2010,Male,25+,Percent,Modeled,64.2084655762
Malawi,2010,Total,15 - 24,Percent,Modeled,67.64793396
Malawi,2010,Total,15+,Percent,Modeled,68.6314544678
Malawi,2010,Total,25+,Percent,Modeled,69.0071334839
Malawi,2010,Male,15+,Percent,Modeled,64.9288253784
Malawi,2010,Male,15 - 24,Percent,Modeled,66.9912719727
Malawi,2010,Female,25+,Percent,Modeled,73.7981338501
Malawi,2004,Total,25+,Percent,Estimated,70.524848938
Malawi,2004,Male,15 - 24,Percent,Estimated,69.6164169312
Malawi,2004,Female,15 - 24,Percent,Estimated,70.1294555664
Malawi,2004,Female,15+,Percent,Estimated,73.4136123657
Malawi,2004,Female,25+,Percent,Estimated,75.0215988159
Malawi,2004,Male,15+,Percent,Estimated,67.4116668701
Malawi,2004,Male,25+,Percent,Estimated,66.4289245605
Malawi,2004,Total,15 - 24,Percent,Estimated,69.8729934692
Malawi,2004,Total,15+,Percent,Estimated,70.3174438477
Malaysia,2009,Female,15 - 24,Percent,Modeled,3.5645172596
Malaysia,2009,Female,15+,Percent,Modeled,3.8170769215
Malaysia,2009,Female,25+,Percent,Modeled,3.8759686947
Malaysia,2009,Male,15+,Percent,Modeled,3.2883815765
Malaysia,2009,Male,25+,Percent,Modeled,3.0595850945
Malaysia,2009,Total,15 - 24,Percent,Modeled,4.0948033333
Malaysia,2009,Total,15+,Percent,Modeled,3.4810643196
Malaysia,2009,Total,25+,Percent,Modeled,3.351708889
Malaysia,2009,Male,15 - 24,Percent,Modeled,4.4422945976
Malaysia,2007,Total,25+,Percent,Modeled,3.4237294197
Malaysia,2007,Male,15 - 24,Percent,Modeled,4.5920958519
Malaysia,2007,Female,15 - 24,Percent,Modeled,3.6962616444
Malaysia,2007,Female,15+,Percent,Modeled,3.9215202332
Malaysia,2007,Female,25+,Percent,Modeled,3.9769477844
Malaysia,2007,Male,15+,Percent,Modeled,3.3721394539
Malaysia,2007,Male,25+,Percent,Modeled,3.1208469868
Malaysia,2007,Total,15 - 24,Percent,Modeled,4.2378740311
Malaysia,2007,Total,15+,Percent,Modeled,3.5706322193
Maldives,2010,Female,15 - 24,Percent,Modeled,7.9785852432
Maldives,2010,Female,15+,Percent,Modeled,7.2356281281
Maldives,2010,Female,25+,Percent,Modeled,6.9770417213
Maldives,2010,Male,15 - 24,Percent,Modeled,8.1386480331
Maldives,2010,Male,15+,Percent,Modeled,6.1173477173
Maldives,2010,Male,25+,Percent,Modeled,5.5720062256
Maldives,2010,Total,15 - 24,Percent,Modeled,8.0641736984
Maldives,2010,Total,15+,Percent,Modeled,6.5839724541
Maldives,2010,Total,25+,Percent,Modeled,6.137960434
Maldives,2004,Female,15+,Percent,Modeled,6.970433712
Maldives,2004,Female,25+,Percent,Modeled,6.7221956253
Maldives,2004,Male,15 - 24,Percent,Modeled,7.176097393
Maldives,2004,Male,15+,Percent,Modeled,5.3810811043
Maldives,2004,Male,25+,Percent,Modeled,4.810441494
Maldives,2004,Total,15 - 24,Percent,Modeled,7.3413066864
Maldives,2004,Total,15+,Percent,Modeled,5.9773774147
Maldives,2004,Total,25+,Percent,Modeled,5.4958367348
Maldives,2004,Female,15 - 24,Percent,Modeled,7.5672307014
Mali,2010,Female,15+,Percent,Modeled,50.8667526245
Mali,2010,Female,15 - 24,Percent,Modeled,50.3691177368
Mali,2010,Female,25+,Percent,Modeled,51.102809906
Mali,2010,Male,15 - 24,Percent,Modeled,52.9162902832
Mali,2010,Male,15+,Percent,Modeled,47.4277420044
Mali,2010,Male,25+,Percent,Modeled,44.9580383301
Mali,2010,Total,15 - 24,Percent,Modeled,51.9487495422
Mali,2010,Total,15+,Percent,Modeled,48.7049293518
Mali,2010,Total,25+,Percent,Modeled,47.2162322998
Mali,2006,Female,25+,Percent,Estimated,52.7279663086
Mali,2006,Female,15+,Percent,Estimated,52.6859931946
Mali,2006,Female,15 - 24,Percent,Estimated,52.5896606445
Mali,2006,Male,15 - 24,Percent,Estimated,54.8366889954
Mali,2006,Male,15+,Percent,Estimated,48.313457489
Mali,2006,Male,25+,Percent,Estimated,45.6499900818
Mali,2006,Total,15 - 24,Percent,Estimated,54.0393753052
Mali,2006,Total,25+,Percent,Estimated,48.0572357178
Mali,2006,Total,15+,Percent,Estimated,49.8195419312
Mali,2001,Female,15 - 24,Percent,Modeled,59.5612602234
Mali,2001,Male,15 - 24,Percent,Modeled,62.0282936096
Mali,2001,Male,15+,Percent,Modeled,55.4108963013
Mali,2001,Male,25+,Percent,Modeled,52.7641944885
Mali,2001,Total,15 - 24,Percent,Modeled,61.1621932983
Mali,2001,Total,15+,Percent,Modeled,56.9501800537
Mali,2001,Total,25+,Percent,Modeled,55.2281913757
Mali,2001,Female,25+,Percent,Modeled,60.0826683044
Mali,2001,Female,15+,Percent,Modeled,59.9268264771
Mauritania,2008,Female,15 - 24,Percent,Modeled,8.4838314056
Mauritania,2008,Female,15+,Percent,Modeled,6.6077799797
Mauritania,2008,Female,25+,Percent,Modeled,6.3180046082
Mauritania,2008,Male,15 - 24,Percent,Modeled,8.282169342
Mauritania,2008,Male,15+,Percent,Modeled,5.666946888
Mauritania,2008,Total,15 - 24,Percent,Modeled,8.3310527802
Mauritania,2008,Total,25+,Percent,Modeled,5.4913597107
Mauritania,2008,Total,15+,Percent,Modeled,5.9306001663
Mauritania,2008,Male,25+,Percent,Modeled,5.1583576202
Mauritania,2004,Total,25+,Percent,Modeled,6.65878582
Mauritania,2004,Total,15+,Percent,Modeled,7.2005844116
Mauritania,2004,Male,25+,Percent,Modeled,6.34182024
Mauritania,2004,Male,15 - 24,Percent,Modeled,10.1210651398
Mauritania,2004,Female,15 - 24,Percent,Modeled,10.2945375443
Mauritania,2004,Female,15+,Percent,Modeled,7.8518772125
Mauritania,2004,Female,25+,Percent,Modeled,7.4516572952
Mauritania,2004,Male,15+,Percent,Modeled,6.9460010529
Mauritania,2004,Total,15 - 24,Percent,Modeled,10.1654872894
Mauritania,2000,Female,15 - 24,Percent,Modeled,12.6868915558
Mauritania,2000,Female,15+,Percent,Modeled,9.7685680389
Mauritania,2000,Female,25+,Percent,Modeled,9.2156515121
Mauritania,2000,Male,15+,Percent,Modeled,8.5981388092
Mauritania,2000,Male,25+,Percent,Modeled,7.760972023
Mauritania,2000,Total,15 - 24,Percent,Modeled,12.4582958221
Mauritania,2000,Total,25+,Percent,Modeled,8.1593751907
Mauritania,2000,Total,15+,Percent,Modeled,8.9126167297
Mauritania,2000,Male,15 - 24,Percent,Modeled,12.3844108582
Mauritius,2012,Total,25+,Percent,Modeled,2.6433551311
Mauritius,2012,Total,15+,Percent,Modeled,2.7729020119
Mauritius,2012,Male,25+,Percent,Modeled,2.2981534004
Mauritius,2012,Male,15 - 24,Percent,Modeled,3.7823934555
Mauritius,2012,Female,15 - 24,Percent,Modeled,3.6282441616
Mauritius,2012,Female,15+,Percent,Modeled,3.3204860687
Mauritius,2012,Female,25+,Percent,Modeled,3.273632288
Mauritius,2012,Male,15+,Percent,Modeled,2.4665365219
Mauritius,2012,Total,15 - 24,Percent,Modeled,3.7215774059
Mauritius,2006,Female,15 - 24,Percent,Modeled,3.7596237659
Mauritius,2006,Female,15+,Percent,Modeled,3.4065749645
Mauritius,2006,Female,25+,Percent,Modeled,3.3468823433
Mauritius,2006,Male,15 - 24,Percent,Modeled,4.0011310577
Mauritius,2006,Male,15+,Percent,Modeled,2.6228096485
Mauritius,2006,Total,15 - 24,Percent,Modeled,3.9117484093
Mauritius,2006,Total,25+,Percent,Modeled,2.7305388451
Mauritius,2006,Total,15+,Percent,Modeled,2.8848781586
Mauritius,2006,Male,25+,Percent,Modeled,2.4283361435
Mexico,2012,Total,25+,Percent,Modeled,2.4194619656
Mexico,2012,Male,15+,Percent,Modeled,2.1120178699
Mexico,2012,Male,15 - 24,Percent,Modeled,1.3388365507
Mexico,2012,Female,15 - 24,Percent,Modeled,2.4819874763
Mexico,2012,Female,15+,Percent,Modeled,2.5916571617
Mexico,2012,Female,25+,Percent,Modeled,2.6162359715
Mexico,2012,Male,25+,Percent,Modeled,2.3035275936
Mexico,2012,Total,15 - 24,Percent,Modeled,1.7363448143
Mexico,2012,Total,15+,Percent,Modeled,2.2877118587
Mexico,2010,Female,15 - 24,Percent,Estimated,2.5476036072
Mexico,2010,Female,15+,Percent,Estimated,2.7638969421
Mexico,2010,Female,25+,Percent,Estimated,2.8143763542
Mexico,2010,Male,25+,Percent,Estimated,2.5388553143
Mexico,2010,Total,15 - 24,Percent,Estimated,1.7894632816
Mexico,2010,Total,15+,Percent,Estimated,2.4692926407
Mexico,2010,Total,25+,Percent,Estimated,2.6391527653
Mexico,2010,Male,15+,Percent,Estimated,2.3041303158
Mexico,2010,Male,15 - 24,Percent,Estimated,1.398856163
Mexico,2008,Total,25+,Percent,Modeled,2.7282643318
Mexico,2008,Male,15+,Percent,Modeled,2.9365441799
Mexico,2008,Male,15 - 24,Percent,Modeled,3.2255363464
Mexico,2008,Female,15 - 24,Percent,Modeled,2.8481132984
Mexico,2008,Female,15+,Percent,Modeled,2.5650305748
Mexico,2008,Female,25+,Percent,Modeled,2.4931533337
Mexico,2008,Male,25+,Percent,Modeled,2.8588986397
Mexico,2008,Total,15 - 24,Percent,Modeled,3.0955898762
Mexico,2008,Total,15+,Percent,Modeled,2.8048467636
Mexico,2006,Female,15 - 24,Percent,Modeled,2.8895277977
Mexico,2006,Female,15+,Percent,Modeled,2.2605395317
Mexico,2006,Female,25+,Percent,Modeled,2.0885956287
Mexico,2006,Male,15 - 24,Percent,Modeled,4.91685009
Mexico,2006,Male,25+,Percent,Modeled,3.0663604736
Mexico,2006,Total,15 - 24,Percent,Modeled,4.220085144
Mexico,2006,Total,15+,Percent,Modeled,3.0499918461
Mexico,2006,Total,25+,Percent,Modeled,2.726421833
Mexico,2006,Male,15+,Percent,Modeled,3.4691431522
Mexico,2004,Female,15 - 24,Percent,Estimated,3.029648304
Mexico,2004,Female,15+,Percent,Estimated,2.1057472229
Mexico,2004,Female,25+,Percent,Estimated,1.8512779474
Mexico,2004,Male,15 - 24,Percent,Estimated,7.1600847244
Mexico,2004,Male,15+,Percent,Estimated,4.3202223778
Mexico,2004,Male,25+,Percent,Estimated,3.498061657
Mexico,2004,Total,15 - 24,Percent,Estimated,5.8040251732
Mexico,2004,Total,15+,Percent,Estimated,3.5740818977
Mexico,2004,Total,25+,Percent,Estimated,2.9391522408
Mexico,2002,Female,15 - 24,Percent,Modeled,3.8373794556
Mexico,2002,Female,15+,Percent,Modeled,2.7658145428
Mexico,2002,Female,25+,Percent,Modeled,2.4216227531
Mexico,2002,Male,15 - 24,Percent,Modeled,8.6487855911
Mexico,2002,Male,15+,Percent,Modeled,5.5769553185
Mexico,2002,Male,25+,Percent,Modeled,4.6381263733
Mexico,2002,Total,15 - 24,Percent,Modeled,7.0279574394
